"","Species","N","Constant model","Climate model","Full model","Contribution of climate covariates"
"1","BOGR",4662,7213.57960714387,5385.05267096674,3975.17649853699,0.564638457552536
"2","HECO",1973,2672.70213878829,2465.46455077955,1950.41031428771,0.28691670178052
"3","PASM",7955,3375.80355091991,3342.02461713635,3170.20314688151,0.164294102151874
"4","POSE",2990,4112.09680175605,3613.47017706014,2875.83695389969,0.403334805025424
