"Year","Intercept.yr","logarea.t0.yr","Group","GrpName","(Intercept)","logarea.t0","crowd","ppt1","TmeanSpr1","logarea.t0:crowd","ppt1:TmeanSpr1","alpha","sigma.a","sigma.b"
"32",0.250766056367442,-0.0793539916902077,-0.00876604069375067,"A",-3.54680321101958,0.538114686002913,-0.240952869573626,-0.000913497715403756,0.312924152591673,0.063565540398734,-9.40849961744935e-05,0.01,1.01378208245828,-0.053022103391963
"33",0.170647833541954,-0.110797691521564,-0.0896636174888008,"B",NA,NA,NA,NA,NA,NA,NA,0.025,NA,NA
"34",0.11808201859135,-0.052159730116123,-0.0277736521267836,"C",NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA
"35",0.16969104364554,0.275051831561346,-0.024338338151736,"D",NA,NA,NA,NA,NA,NA,NA,0.036,NA,NA
"36",-0.37091570045061,0.000798047499886456,0.207903045190449,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",0.984064328815695,0.103699581340565,-0.0573587600557078,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",-0.280255812402851,0.0294415686104175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",-0.222826759298816,0.0576798514856041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",0.0119770623272941,0.0524801930528853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",-0.69695672250837,-0.217930162747308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",-0.3429400691451,-0.0278458584679138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",-0.288351367445463,-0.0822743210644973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",0.497017117459488,0.0512223516751682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
