"","2.5%","25%","50%","75%","97.5%","species"
"beta[1,1]",0.981000540481679,1.03783263154265,1.06768585395692,1.09817631947008,1.1561594171074,"BOGR"
"beta[2,1]",0.356372479251413,0.472072366800727,0.531513675387087,0.590540763114638,0.703040485936046,"HECO"
"beta[3,1]",0.492057608321865,0.532286283691303,0.553291288851163,0.574248717061831,0.614529133082384,"PASM"
"beta[4,1]",0.205976328121967,0.378592571646095,0.460375334349075,0.538564725902274,0.68448490940223,"POSE"
"beta[1,2]",0.883959254321016,0.924845149117904,0.94656927168656,0.968530689312834,1.01068619105739,"BOGR"
"beta[2,2]",0.505639121536357,0.631301891312237,0.696962139660674,0.762943786472199,0.890300982704519,"HECO"
"beta[3,2]",0.378222757355552,0.40614835473902,0.420740375470669,0.435492983538262,0.463513654080269,"PASM"
"beta[4,2]",0.23792380173098,0.363562877579531,0.427302112291585,0.488702260647712,0.602025652136024,"POSE"
"beta[1,3]",0.823481230823894,0.867590396365902,0.890918957164968,0.914477156547289,0.959452814951632,"BOGR"
"beta[2,3]",0.203368008413314,0.319836816008799,0.379102087304084,0.438092848314943,0.546152435128926,"HECO"
"beta[3,3]",0.273140281313551,0.310643264838852,0.330515576210285,0.350134519247413,0.387435543562749,"PASM"
"beta[4,3]",0.336299507888155,0.443269429285945,0.497245396454175,0.550553679158297,0.653370637849277,"POSE"
"beta[1,4]",0.941040762187867,0.978287388520956,0.997800411261143,1.01727007190823,1.05453390296997,"BOGR"
"beta[2,4]",0.517686835154463,0.58303129197943,0.617282342335984,0.651305608737219,0.71669805393929,"HECO"
"beta[3,4]",0.428770832087151,0.467133121770596,0.48732627902107,0.507270370868243,0.545945063525986,"PASM"
"beta[4,4]",0.738558344344808,0.806313882015936,0.842209254663806,0.878259048613636,0.946790460452377,"POSE"
"beta[1,5]",0.564376815675005,0.618399477511791,0.646628039228535,0.674999268907672,0.728849762203922,"BOGR"
"beta[2,5]",0.168508891137964,0.277940849038639,0.334985467390988,0.39136255271289,0.497018883609329,"HECO"
"beta[3,5]",0.354296471439324,0.399717291021826,0.423617046983045,0.447114755697897,0.492329587578008,"PASM"
"beta[4,5]",0.470730799014187,0.529676079900683,0.5606771835741,0.592183639425828,0.651861318621182,"POSE"
"beta[1,6]",0.779907974380599,0.836893506241863,0.866742306201396,0.896539158273132,0.953068436779865,"BOGR"
"beta[2,6]",0.423025638838198,0.576511874378076,0.654769004995674,0.733412310902228,0.888403464655199,"HECO"
"beta[3,6]",0.582339153730374,0.639466921632536,0.669890902798656,0.700291553680355,0.75781476315041,"PASM"
"beta[4,6]",0.583224302193811,0.635518788588272,0.66266021802773,0.690071000542433,0.742479278527099,"POSE"
"beta[1,7]",0.617142447150227,0.664638911389185,0.689304466787605,0.714156306302436,0.761186603661944,"BOGR"
