"","dics","model"
"4",15314.697328216,4
"18",15316.6016537985,18
"17",15317.1846590073,17
"9",15322.9352045702,9
"8",15322.9532295983,8
"6",15323.0062382906,6
"19",15323.0113349862,19
"7",15323.0116801952,7
"16",15323.0292071478,16
"11",15323.0321198985,11
"20",15323.0330760646,20
"21",15323.036976065,21
"13",15323.0484039557,13
"15",15323.0489807543,15
"10",15323.072346304,10
"14",15323.0742976297,14
"12",15323.108900669,12
"2",15323.1505152956,2
"1",15323.2045249852,1
"3",15323.2367473018,3
"5",15323.3669304479,5
