"Year","Intercept.yr","logarea.t0.yr","Group","GrpName","(Intercept)","logarea.t0","crowd","ppt1","TmeanSpr1","logarea.t0:crowd","ppt1:TmeanSpr1","alpha","sigma.a","sigma.b"
"32",-0.317095238941535,-0.104158380018058,0.0557947988288366,"A",7.9188112029337,0.618138963634555,-0.117700415186026,-0.0796901590319372,-0.559740642358838,0.0213400615542656,0.00606881579240605,0.01,1.14439008849041,-0.132974802535208
"33",-0.179573240272464,0.0720972746823573,0.0457878389865386,"B",NA,NA,NA,NA,NA,NA,NA,0.025,NA,NA
"34",0.300933632418228,-0.20618669884483,-0.0866806056495823,"C",NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA
"35",-0.206692956970175,-0.000222477991027393,-0.0202037069600341,"D",NA,NA,NA,NA,NA,NA,NA,0.036,NA,NA
"36",-0.675993314984904,-0.286174774225692,0.0153554698698642,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",0.694103011895444,0.0259738117188694,-0.0100394625146356,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",1.02696947402351,-0.19184268401159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",-0.398704503884813,0.263817897058529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",-0.0237087013501,0.0915163076331089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",-0.0721517235107221,0.111386211135591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",-0.0446800935151504,0.0635873753783056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",-0.0836170489825643,0.151599749244538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",-0.0197947369270418,0.00862863938492232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
