"quad","year","totNumber"
"Q7",23,1
"Q8",23,1
"Q20",26,1
"Q7",26,2
"Q8",26,3
"Q20",27,1
"Q8",27,4
"Q20",29,2
"Q7",29,2
"Q8",29,3
"Q10",30,7
"Q11",30,1
"Q12",30,7
"Q14",30,2
"Q15",30,77
"Q16",30,31
"Q17",30,10
"Q18",30,17
"Q20",30,4
"Q22",30,3
"Q7",30,1
"Q8",30,3
"Q10",31,4
"Q11",31,1
"Q12",31,6
"Q14",31,2
"Q15",31,1
"Q16",31,16
"Q17",31,9
"Q18",31,10
"Q20",31,1
"Q22",31,3
"Q7",31,1
"Q8",31,5
"Q1",32,1
"Q10",32,2
"Q12",32,5
"Q14",32,2
"Q16",32,17
"Q17",32,8
"Q18",32,11
"Q20",32,1
"Q22",32,3
"Q7",32,1
"Q8",32,2
"Q1",33,1
"Q10",33,3
"Q12",33,15
"Q13",33,3
"Q14",33,2
"Q20",33,1
"Q22",33,4
"Q7",33,1
"Q8",33,2
"Q1",34,1
"Q10",34,5
"Q12",34,7
"Q13",34,1
"Q14",34,4
"Q16",34,17
"Q17",34,9
"Q18",34,12
"Q20",34,2
"Q22",34,4
"Q7",34,1
"Q8",34,2
"Q1",35,2
"Q10",35,4
"Q12",35,8
"Q13",35,1
"Q14",35,2
"Q16",35,12
"Q17",35,7
"Q18",35,13
"Q20",35,1
"Q22",35,7
"Q8",35,3
"Q1",36,3
"Q10",36,3
"Q12",36,8
"Q13",36,1
"Q14",36,3
"Q20",36,1
"Q22",36,7
"Q8",36,5
"Q1",37,2
"Q10",37,6
"Q12",37,11
"Q13",37,1
"Q14",37,2
"Q2",37,3
"Q20",37,1
"Q22",37,6
"Q23",37,1
"Q8",37,3
"Q1",38,1
"Q10",38,21
"Q11",38,1
"Q12",38,14
"Q13",38,2
"Q14",38,10
"Q19",38,1
"Q2",38,1
"Q20",38,1
"Q22",38,7
"Q23",38,1
"Q3",38,1
"Q8",38,14
"Q9",38,2
"Q1",39,1
"Q10",39,11
"Q12",39,14
"Q13",39,2
"Q14",39,5
"Q19",39,1
"Q20",39,1
"Q22",39,4
"Q23",39,1
"Q3",39,1
"Q8",39,7
"Q9",39,1
"Q1",40,1
"Q10",40,12
"Q12",40,11
"Q13",40,1
"Q14",40,6
"Q19",40,1
"Q2",40,4
"Q20",40,2
"Q22",40,9
"Q23",40,1
"Q3",40,1
"Q8",40,6
"Q1",41,3
"Q10",41,23
"Q12",41,13
"Q13",41,2
"Q14",41,9
"Q19",41,1
"Q2",41,4
"Q20",41,2
"Q22",41,13
"Q23",41,1
"Q24",41,1
"Q25",41,1
"Q3",41,2
"Q8",41,16
"Q1",42,2
"Q10",42,41
"Q13",42,1
"Q14",42,7
"Q19",42,2
"Q2",42,3
"Q20",42,3
"Q22",42,15
"Q23",42,1
"Q24",42,4
"Q3",42,1
"Q8",42,20
"Q1",45,3
"Q10",45,28
"Q12",45,41
"Q13",45,4
"Q14",45,8
"Q2",45,5
"Q20",45,4
"Q22",45,18
"Q23",45,1
"Q24",45,2
"Q26",45,1
"Q3",45,4
"Q8",45,21
"Q10",46,28
"Q12",46,22
"Q13",46,4
"Q14",46,6
"Q2",46,5
"Q20",46,4
"Q22",46,6
"Q23",46,1
"Q24",46,1
"Q3",46,2
"Q8",46,19
"Q10",47,9
"Q12",47,24
"Q13",47,2
"Q14",47,8
"Q2",47,6
"Q20",47,3
"Q22",47,8
"Q23",47,1
"Q24",47,1
"Q3",47,1
"Q8",47,8
"Q10",49,14
"Q12",49,22
"Q13",49,2
"Q14",49,7
"Q2",49,4
"Q20",49,2
"Q22",49,13
"Q23",49,1
"Q24",49,4
"Q3",49,2
"Q8",49,13
"Q10",50,21
"Q12",50,24
"Q13",50,1
"Q14",50,6
"Q2",50,2
"Q20",50,4
"Q22",50,12
"Q23",50,1
"Q24",50,2
"Q3",50,2
"Q8",50,17
"Q10",51,3
"Q12",51,20
"Q2",51,3
"Q20",51,6
"Q22",51,10
"Q23",51,1
"Q24",51,1
"Q3",51,1
"Q8",51,8
"Q10",52,5
"Q12",52,21
"Q13",52,2
"Q14",52,6
"Q15",52,2
"Q16",52,4
"Q17",52,13
"Q18",52,16
"Q2",52,3
"Q20",52,2
"Q22",52,9
"Q23",52,1
"Q24",52,1
"Q3",52,3
"Q8",52,6
"Q10",54,4
"Q12",54,19
"Q2",54,2
"Q20",54,1
"Q22",54,6
"Q23",54,2
"Q24",54,1
"Q25",54,1
"Q3",54,1
"Q8",54,8
"Q10",55,9
"Q12",55,17
"Q2",55,2
"Q20",55,4
"Q22",55,5
"Q23",55,1
"Q24",55,1
"Q25",55,2
"Q3",55,1
"Q8",55,9
"Q10",56,17
"Q13",56,1
"Q14",56,6
"Q15",56,5
"Q16",56,8
"Q17",56,3
"Q18",56,17
"Q2",56,2
"Q20",56,3
"Q22",56,10
"Q23",56,3
"Q24",56,1
"Q3",56,1
"Q8",56,13
"Q10",57,4
"Q12",57,17
"Q13",57,1
"Q14",57,6
"Q15",57,6
"Q16",57,8
"Q17",57,3
"Q18",57,16
"Q8",57,10
